transformId,fieldId
T190,F3087
T191,F11348
T192,F13774
T193,F12960
T194,F10986
T195,F16511
T196,F11182
T197,F6279
T198,F11706
T199,F14181
T200,F17328
T201,F2721
T202,F3565
T203,F16575
T204,F16229
T205,F2797
T206,F13347
T207,F15744
T208,F12397
T209,F15953
T210,F3653
T211,F4578
T212,F10989
T213,F10728
T214,F10609
T215,F6679
T216,F9489
T217,F14475
T218,F17955
T219,F6538
T220,F3900
T221,F7334
T222,F9426
T223,F13916
T224,F17238
T225,F11242
T226,F16447
T227,F11312
T228,F16243
T229,F7373
T230,F15248
T231,F8235
T232,F3488
T233,F8214
T234,F10813
T235,F10121
T236,F11891
T237,F11809
T238,F15339
T239,F16688
T240,F14941
T241,F4153
T242,F10471
T243,F11789
T244,F11173
T245,F4563
T246,F16439
T247,F3042
T248,F8955
T249,F11917
T250,F17970
T251,F17933
T252,F9577
T253,F3702
T254,F8664
T255,F5945
T256,F3131
T257,F10510
T258,F14215
T259,F13927
T260,F16705
T261,F17955
T262,F15289
T263,F4430
T264,F6868
T265,F8760
T266,F15086
T267,F6344
T268,F3119
T269,F12271
T270,F14752
T271,F3818
T272,F15837
T273,F17800
T274,F4336
T275,F14605
T276,F15875
T277,F15463
T278,F4147
T279,F9061
T280,F4352
T281,F9574
T282,F15365
T283,F16170
T284,F3338
T285,F13984
T286,F8231
T287,F15872
T288,F16976
T289,F10243
T290,F14355
T291,F16982
T292,F3774
T293,F13115
T294,F6044
T295,F12410
T296,F4842
T297,F3757
T298,F12250
T299,F7296
T300,F6751
T301,F11779
T302,F13536
T303,F17309
T304,F9788
T305,F16365
T306,F10702
T307,F3460
T308,F17725
T309,F5860
T310,F15196
T311,F15288
T312,F11560
T313,F9393
T314,F9992
T315,F7914
T316,F14428
T317,F13987
T318,F16701
T319,F13703
T320,F4965
T321,F15724
T322,F3280
T323,F11436
T324,F7977
T325,F16505
T326,F4361
T327,F11310
T328,F16428
T329,F17046
T330,F6644
T331,F15639
T332,F14941
T333,F15221
T334,F7789
T335,F9096
T336,F11431
T337,F16473
T338,F13565
T339,F6510
T340,F13527
T341,F7561
T342,F10892
T343,F16382
T344,F14944
T345,F17697
T346,F10681
T347,F11977
T348,F12864
T349,F16960
T350,F3816
T351,F8798
T352,F15026
T353,F14410
T354,F5370
T355,F4878
T356,F14598
T357,F10132
T358,F15236
T359,F3907
T360,F16508
T361,F14612
T362,F9807
T363,F5383
T364,F7931
T365,F6175
T366,F3179
T367,F6416
T368,F14839
T369,F10177
T370,F5201
T371,F5866
T372,F10326
T373,F10496
T374,F6050
T375,F15191
T376,F5259
T377,F11716
T378,F9930
T379,F9863
T380,F13787
T381,F16160
T382,F15409
T383,F6666
T384,F13864
T385,F13651
T386,F5707
T387,F11723
T388,F6640
T389,F7184
T390,F13597
T391,F9377
T392,F2998
T393,F11496
T394,F17014
T395,F9877
T396,F8115
T397,F16143
T398,F7550
T399,F3841
T400,F9367
T401,F14516
T402,F4556
T403,F4873
T404,F17317
T405,F14370
T406,F16491
T407,F7859
T408,F13169
T409,F15934
T410,F15621
T411,F2930
T412,F12761
T413,F17402
T414,F5714
T415,F7008
T416,F13976
T417,F15707
T418,F4579
T419,F2793
T420,F14440
T421,F6211
T422,F3522
T423,F4047
T424,F3543
T425,F15230
T426,F16686
T427,F13913
T428,F13270
T429,F5656
T430,F5784
T431,F11707
T432,F12205
T433,F6779
T434,F13204
T435,F7148
T436,F15051
T437,F15505
T438,F7170
T439,F10469
T440,F10338
T441,F5053
T442,F16615
T443,F9241
T444,F10357
T445,F7467
T446,F17375
T447,F9070
T448,F14625
T449,F17918
T450,F10212
T451,F13930
T452,F13930
T453,F4967
T454,F15019
T455,F13445
T456,F13274
T457,F7269
T458,F7462
T459,F9052
T460,F10704
T461,F15256
T462,F8791
T463,F15002
T464,F5582
T465,F10495
T466,F11047
T467,F9682
T468,F9617
T469,F15421
T470,F15897
T471,F6500
T472,F14418
T473,F14938
T474,F11515
T475,F9627
T476,F11637
T477,F6075
T478,F13846
T479,F8528
T480,F12750
T481,F6075
T482,F11603
T483,F4519
T484,F3039
T485,F10862
T486,F17407
T487,F8039
T488,F16456
T489,F15942
T490,F10670
T491,F4838
T492,F15878
T493,F14581
T494,F7283
T495,F11113
T496,F15812
T497,F13829
T498,F10502
T499,F13861
T500,F10458
T501,F10742
T502,F5233
T503,F14920
T504,F6555
T505,F3208
T506,F17998
T507,F8905
T508,F6314
T509,F5051
T510,F15613
T511,F3898
T512,F4678
T513,F11507
T514,F3602
T515,F14984
T516,F12308
T517,F8587
T518,F9657
T519,F16393
T520,F7385
T521,F7018
T522,F12757
T523,F4695
T524,F15652
T525,F14762
T526,F14621
T527,F3334
T528,F4684
T529,F3571
T530,F17440
T531,F16172
T532,F10286
T533,F5231
T534,F12668
T535,F14876
T536,F7611
T537,F10348
T538,F16739
T539,F5416
T540,F16411
T541,F15152
T542,F11065
T543,F2982
T544,F5820
T545,F16578
T546,F13221
T547,F6555
T548,F4594
T549,F10412
T550,F11531
T551,F14141
T552,F3011
T553,F16666
T554,F5365
T555,F15023
T556,F12948
T557,F13590
T558,F12347
T559,F14157
T560,F13776
T561,F8770
T562,F4314
T563,F17920
T564,F10747
T565,F7301
T566,F11481
T567,F13638
T568,F4135
T569,F16669
T570,F5599
T571,F10131
T572,F10399
T573,F13531
T574,F3473
T575,F3424
T576,F14566
T577,F6516
T578,F3323
T579,F10572
T580,F12620
T581,F7626
T582,F9805
T583,F16853
T584,F16132
T585,F4124
T586,F7831
T587,F15952
T588,F10778
T589,F14022
T590,F12174
T591,F12395
T592,F13940
T593,F7939
T594,F6801
T595,F15784
T596,F13907
T597,F9516
T598,F15377
T599,F5946
T600,F13576
T601,F6724
T602,F12810
T603,F16736
T604,F11182
T605,F11834
T606,F14574
T607,F15972
T608,F7427
T609,F12250
T610,F3994
T611,F17422
T612,F2810
T613,F5559
T614,F16982
T615,F10860
T616,F15100
T617,F12966
T618,F2794
T619,F3163
T620,F6430
T621,F13156
T622,F7226
T623,F4234
T624,F8520
T625,F7067
T626,F10044
T627,F3936
T628,F7783
T629,F4316
T630,F17643
T631,F10685
T632,F12375
T633,F11143
T634,F14125
T635,F6350
T636,F4687
T637,F4921
T638,F4636
T639,F13743
T640,F16439
T641,F17876
T642,F12537
T643,F6205
T644,F14699
T645,F13442
T646,F6550
T647,F7271
T648,F4229
T649,F11914
T650,F6728
T651,F14880
T652,F10235
T653,F6772
T654,F8143
T655,F5443
T656,F13456
T657,F15018
T658,F6271
T659,F11262
T660,F12505
T661,F15540
T662,F4787
T663,F14838
T664,F7722
T665,F11923
T666,F13155
T667,F4732
T668,F15061
T669,F11357
T670,F6625
T671,F8822
T672,F4409
T673,F5624
T674,F12642
T675,F10768
T676,F17288
T677,F8797
T678,F3732
T679,F4521
T680,F15578
T681,F12076
T682,F17610
T683,F4414
T684,F17754
T685,F16922
T686,F6598
T687,F17431
T688,F9379
T689,F8068
T690,F5703
T691,F8666
T692,F13445
T693,F14009
T694,F6512
T695,F8152
T696,F10014
T697,F8034
T698,F7894
T699,F11984
T700,F8694
T701,F10253
T702,F13370
T703,F12945
T704,F4323
T705,F7761
T706,F16729
T707,F15330
T708,F8370
T709,F13655
T710,F14740
T711,F11231
T712,F6118
T713,F14689
T714,F17514
T715,F4105
T716,F7602
T717,F9733
T718,F7046
T719,F12694
T720,F8637
T721,F8978
T722,F13494
T723,F9106
T724,F4897
T725,F14076
T726,F4471
T727,F2742
T728,F5537
T729,F11094
T730,F5484
T731,F9490
T732,F10075
T733,F2828
T734,F10438
T735,F6585
T736,F11956
T737,F14687
T738,F4048
T739,F9774
T740,F14488
T741,F8500
T742,F14475
T743,F6856
T744,F15698
T745,F15087
T746,F13614
T747,F4806
T748,F11668
T749,F5888
T750,F2764
T751,F16680
T752,F5018
T753,F4963
T754,F5976
T755,F9134
T756,F7510
T757,F15444
T758,F7289
T759,F7246
T760,F14113
T761,F9651
T762,F7104
T763,F8339
T764,F14027
T765,F8431
T766,F13055
T767,F16394
T768,F14609
T769,F12321
T770,F15045
T771,F7912
T772,F14447
T773,F10080
T774,F9638
T775,F4396
T776,F7627
T777,F10049
T778,F16886
T779,F7316
T780,F8409
T781,F7987
T782,F3541
T783,F14571
T784,F2770
T785,F12207
T786,F12958
T787,F13296
T788,F8360
T789,F6166
T790,F5269
T791,F16558
T792,F2953
T793,F12492
T794,F16270
T795,F12732
T796,F9764
T797,F5619
T798,F11726
T799,F10364
T800,F10583
T801,F17383
T802,F8946
T803,F11057
T804,F3518
T805,F5760
T806,F9526
T807,F12258
T808,F7298
T809,F15467
T810,F17413
T811,F9347
T812,F6764
T813,F12754
T814,F4431
T815,F10992
T816,F7108
T817,F11946
T818,F13000
T819,F13466
T820,F16164
T821,F12872
T822,F7648
T823,F10837
T824,F10363
T825,F16008
T826,F13254
T827,F8704
T828,F16049
T829,F12924
T830,F17993
T831,F2880
T832,F8808
T833,F9588
T834,F13623
T835,F3625
T836,F7679
T837,F4598
T838,F15149
T839,F12487
T840,F5123
T841,F4626
T842,F13418
T843,F4665
T844,F6271
T845,F14897
T846,F4221
T847,F6763
T848,F5303
T849,F16184
T850,F11118
T851,F12190
T852,F8112
T853,F12499
T854,F7369
T855,F11843
T856,F17416
T857,F12570
T858,F6057
T859,F12809
T860,F3464
T861,F8039
T862,F12577
T863,F9213
T864,F7419
T865,F17699
T866,F8385
T867,F11939
T868,F3037
T869,F3640
T870,F4304
T871,F12617
T872,F8966
T873,F7439
T874,F11432
T875,F4094
T876,F9011
T877,F6890
T878,F5121
T879,F14694
T880,F10383
T881,F4025
T882,F3074
T883,F10306
T884,F8058
T885,F11617
T886,F13297
T887,F10291
T888,F11637
T889,F10938
T890,F7013
T891,F14167
T892,F6860
T893,F12665
T894,F4214
T895,F7586
T896,F15765
T897,F8481
T898,F3744
T899,F17478
T900,F8184
T901,F7626
T902,F9626
T903,F16270
T904,F8423
T905,F15711
T906,F10195
T907,F8542
T908,F5677
T909,F4400
T910,F2848
T911,F4378
T912,F15104
T913,F10446
T914,F6365
T915,F15765
T916,F4386
T917,F9501
T918,F8567
T919,F4090
T920,F10030
T921,F8201
T922,F5811
T923,F4937
T924,F4797
T925,F13245
T926,F5420
T927,F7212
T928,F2979
T929,F15747
T930,F4554
T931,F9312
T932,F8004
T933,F14797
T934,F4444
T935,F11919
T936,F5159
T937,F15015
T938,F8991
T939,F6099
T940,F9811
T941,F11086
T942,F8208
T943,F15892
T944,F4401
T945,F10386
T946,F13013
T947,F14772
T948,F8873
T949,F9433
T950,F4712
T951,F7698
T952,F14037
T953,F9980
T954,F16834
T955,F5729
T956,F6484
T957,F7797
T958,F14663
T959,F16667
T960,F12970
T961,F3825
T962,F5349
T963,F6178
T964,F16001
T965,F4759
T966,F14622
T967,F17776
T968,F3974
T969,F16927
T970,F13857
T971,F3487
T972,F17830
T973,F12291
T974,F11462
T975,F5980
T976,F13069
T977,F15356
T978,F14788
T979,F5671
T980,F11609
T981,F8547
T982,F7809
T983,F12466
T984,F4338
T985,F15193
T986,F17012
T987,F6946
T988,F13848
T989,F9355
T990,F7047
T991,F11842
T992,F6197
T993,F13093
T994,F15878
T995,F11305
T996,F15451
T997,F8083
T998,F7000
T999,F8728
T1000,F4870
T1001,F6294
T1002,F7120
T1003,F9920
T1004,F15251
T1005,F12548
T1006,F8711
T1007,F16396
T1008,F16443
T1009,F15708
T1010,F13631
T1011,F13781
T1012,F16674
T1013,F3533
T1014,F4596
T1015,F13907
T1016,F6153
T1017,F6570
T1018,F8266
T1019,F3303
T1020,F4238
T1021,F9491
T1022,F8166
T1023,F9367
T1024,F14270
T1025,F17044
T1026,F16102
T1027,F7109
T1028,F8449
T1029,F12411
T1030,F3841
T1031,F14981
T1032,F6986
T1033,F8166
T1034,F4749
T1035,F17568
T1036,F3992
T1037,F8563
T1038,F11971
T1039,F5182
T1040,F14455
T1041,F15961
T1042,F15521
T1043,F16092
T1044,F14115
T1045,F9397
T1046,F13615
T1047,F13566
T1048,F14018
T1049,F9409
T1050,F12386
T1051,F4588
T1052,F8667
T1053,F4636
T1054,F6836
T1055,F6934
T1056,F10318
T1057,F10491
T1058,F7459
T1059,F13019
T1060,F11138
T1061,F3913
T1062,F15063
T1063,F16806
T1064,F6420
T1065,F15978
T1066,F7897
T1067,F9048
T1068,F16075
T1069,F3581
T1070,F10939
T1071,F5965
T1072,F14361
T1073,F12178
T1074,F13815
T1075,F5649
T1076,F7844
T1077,F14935
T1078,F15239
T1079,F16281
T1080,F2992
T1081,F17645
T1082,F3438
T1083,F13346
T1084,F12040
T1085,F11890
T1086,F12296
T1087,F15353
T1088,F5496
T1089,F11264
T1090,F7751
T1091,F7734
T1092,F13839
T1093,F16049
T1094,F7996
T1095,F5331
T1096,F13280
T1097,F15281
T1098,F11277
T1099,F7748
T1100,F6560
T1101,F12908
T1102,F4339
T1103,F13422
T1104,F10355
T1105,F4378
T1106,F7286
T1107,F9921
T1108,F8891
T1109,F3815
T1110,F9332
T1111,F17536
T1112,F10792
T1113,F5385
T1114,F6763
T1115,F6042
T1116,F2864
T1117,F3143
T1118,F11275
T1119,F12065
T1120,F3954
T1121,F4170
T1122,F13299
T1123,F14173
T1124,F9846
T1125,F16951
T1126,F15458
T1127,F6919
T1128,F11531
T1129,F14980
T1130,F3110
T1131,F10258
T1132,F14069
T1133,F7197
T1134,F13823
T1135,F12932
T1136,F7916
T1137,F9849
T1138,F10222
T1139,F14181
T1140,F17970
T1141,F6109
T1142,F8441
T1143,F17021
T1144,F12031
T1145,F5995
T1146,F10918
T1147,F11827
T1148,F17992
T1149,F5979
T1150,F8901
T1151,F12521
T1152,F7391
T1153,F6541
T1154,F9266
T1155,F3045
T1156,F2886
T1157,F13872
T1158,F11487
T1159,F13150
T1160,F4976
T1161,F13046
T1162,F12687
T1163,F5485
T1164,F11121
T1165,F15722
T1166,F16123
T1167,F17529
T1168,F5426
T1169,F6944
T1170,F17422
T1171,F11812
T1172,F12270
T1173,F5388
T1174,F5591
T1175,F12263
T1176,F4236
T1177,F13237
T1178,F14051
T1179,F16715
T1180,F8348
T1181,F10017
T1182,F3156
T1183,F11152
T1184,F5408
T1185,F12748
T1186,F10754
T1187,F13312
T1188,F6173
T1189,F14729
T1190,F17521
T1191,F13492
T1192,F15509
T1193,F6684
T1194,F10613
T1195,F12228
T1196,F17637
T1197,F6407
T1198,F10917
T1199,F3310
T1200,F14551
T1201,F9856
T1202,F10291
T1203,F13054
T1204,F3289
T1205,F6995
T1206,F8069
T1207,F14441
T1208,F3590
T1209,F16644
T1210,F4540
T1211,F14062
T1212,F10562
T1213,F3406
T1214,F16896
T1215,F11934
T1216,F10743
T1217,F10698
T1218,F6550
T1219,F7391
T1220,F14667
T1221,F11876
T1222,F4676
T1223,F15953
T1224,F5880
T1225,F11048
T1226,F15012
T1227,F4427
T1228,F4491
T1229,F15721
T1230,F11135
T1231,F11959
T1232,F13220
T1233,F12373
T1234,F17159
T1235,F5624
T1236,F9726
T1237,F17573
T1238,F11593
T1239,F12183
T1240,F15062
T1241,F10559
T1242,F13333
T1243,F14984
T1244,F6900
T1245,F12310
T1246,F11640
T1247,F4433
T1248,F9914
T1249,F17246
T1250,F10959
T1251,F10799
T1252,F7638
T1253,F2970
T1254,F14688
T1255,F14026
T1256,F13959
T1257,F10681
T1258,F16876
T1259,F6330
T1260,F9025
T1261,F9547
T1262,F4860
T1263,F13406
T1264,F8475
T1265,F17749
T1266,F17389
T1267,F15682
T1268,F9854
T1269,F15096
T1270,F4761
T1271,F15291
T1272,F6655
T1273,F2910
T1274,F10599
T1275,F16402
T1276,F3858
T1277,F6104
T1278,F3626
T1279,F13743
T1280,F17022
T1281,F7043
T1282,F15294
T1283,F5326
T1284,F16403
T1285,F15759
T1286,F13940
T1287,F7808
T1288,F17861
T1289,F4758
T1290,F4676
T1291,F12682
T1292,F16170
T1293,F16737
T1294,F11183
T1295,F3846
T1296,F5586
T1297,F17417
T1298,F8685
T1299,F5534
T1300,F15085
T1301,F5973
T1302,F4838
T1303,F15766
T1304,F3159
T1305,F8513
T1306,F7047
T1307,F11916
T1308,F5266
T1309,F9209
T1310,F6078
T1311,F4297
T1312,F12776
T1313,F10676
T1314,F4540
T1315,F10804
T1316,F3818
T1317,F12883
T1318,F8204
T1319,F3342
T1320,F7451
T1321,F17664
T1322,F16391
T1323,F14297
T1324,F17262
T1325,F3475
T1326,F12808
T1327,F13547
T1328,F10480
T1329,F17122
T1330,F12943
T1331,F13856
T1332,F12146
T1333,F8111
T1334,F10390
T1335,F8846
T1336,F11932
T1337,F7932
T1338,F6002
T1339,F15066
T1340,F12675
T1341,F4931
T1342,F9092
T1343,F6263
T1344,F13641
T1345,F3115
T1346,F17656
T1347,F14946
T1348,F7144
T1349,F16414
T1350,F14317
T1351,F12421
T1352,F4043
T1353,F11073
T1354,F6675
T1355,F9117
T1356,F2797
T1357,F13686
T1358,F8837
T1359,F17925
T1360,F11565
T1361,F5992
T1362,F10021
T1363,F3521
T1364,F8600
T1365,F5886
T1366,F10513
T1367,F13102
T1368,F9329
T1369,F12110
T1370,F7660
T1371,F4068
T1372,F15229
T1373,F10259
T1374,F3082
T1375,F15722
T1376,F11745
T1377,F16820
T1378,F16684
T1379,F3862
T1380,F5163
T1381,F17943
T1382,F9085
T1383,F3631
T1384,F15934
T1385,F6875
T1386,F9620
T1387,F9249
T1388,F16824
T1389,F8184
T1390,F11526
T1391,F6003
T1392,F4156
T1393,F8559
T1394,F17954
T1395,F9739
T1396,F10891
T1397,F3051
T1398,F2701
T1399,F6062
T1400,F9406
T1401,F11886
T1402,F14455
T1403,F14071
T1404,F10796
T1405,F5120
T1406,F5225
T1407,F8623
T1408,F10179
T1409,F10583
T1410,F10302
T1411,F5439
T1412,F15026
T1413,F3107
T1414,F3493
T1415,F9884
T1416,F3023
T1417,F12112
T1418,F14879
T1419,F11671
T1420,F6057
T1421,F16688
T1422,F8881
T1423,F7397
T1424,F3188
T1425,F4413
T1426,F7290
T1427,F11354
T1428,F13742
T1429,F9995
T1430,F14099
T1431,F8702
T1432,F5012
T1433,F13690
T1434,F14412
T1435,F12148
T1436,F4075
T1437,F10695
T1438,F15669
T1439,F13554
T1440,F15325
T1441,F4941
T1442,F10963
T1443,F3893
T1444,F13106
T1445,F3792
T1446,F15880
T1447,F7390
T1448,F10425
T1449,F3362
T1450,F7359
T1451,F13803
T1452,F14242
T1453,F12814
T1454,F13240
T1455,F7340
T1456,F4150
T1457,F16824
T1458,F12858
T1459,F9441
T1460,F13833
T1461,F8179
T1462,F14639
T1463,F17533
T1464,F3591
T1465,F3080
T1466,F11237
T1467,F9101
T1468,F17079
T1469,F6194
T1470,F11850
T1471,F16118
T1472,F16890
T1473,F9673
T1474,F6155
T1475,F14826
T1476,F16738
T1477,F6960
T1478,F8655
T1479,F11387
T1480,F8053
T1481,F4094
T1482,F12281
T1483,F14040
T1484,F15080
T1485,F3287
T1486,F12266
T1487,F3372
T1488,F11367
T1489,F13627
T1490,F7667
T1491,F5732
T1492,F8461
T1493,F16486
T1494,F12224
T1495,F8291
T1496,F12579
T1497,F4837
T1498,F4954
T1499,F9652
T1500,F5827
T1501,F3940
T1502,F3056
T1503,F10179
T1504,F5596
T1505,F12359
T1506,F14352
T1507,F15060
T1508,F8236
T1509,F14682
T1510,F17656
T1511,F3722
T1512,F11044
T1513,F8535
T1514,F8357
T1515,F15040
T1516,F15376
T1517,F4778
T1518,F9414
T1519,F10236
T1520,F9185
T1521,F17932
T1522,F15860
T1523,F10789
T1524,F11629
T1525,F11239
T1526,F4115
T1527,F10695
T1528,F9882
T1529,F17509
T1530,F14647
T1531,F11006
T1532,F8534
T1533,F3687
T1534,F17058
T1535,F9315
T1536,F6743
T1537,F16697
T1538,F14337
T1539,F2720
T1540,F10836
T1541,F16065
T1542,F8272
T1543,F5664
T1544,F16800
T1545,F8018
T1546,F15802
T1547,F9955
T1548,F13284
T1549,F15329
T1550,F3865
T1551,F10152
T1552,F11979
T1553,F13883
T1554,F8624
T1555,F5135
T1556,F2758
T1557,F6566
T1558,F3050
T1559,F2803
T1560,F4495
T1561,F11683
T1562,F4144
T1563,F15048
T1564,F10376
T1565,F15225
T1566,F13618
T1567,F5596
T1568,F14492
T1569,F4823
T1570,F3590
T1571,F10644
T1572,F10051
T1573,F17262
T1574,F9345
T1575,F3770
T1576,F15122
T1577,F7233
T1578,F14598
T1579,F13681
T1580,F8366
T1581,F10239
T1582,F13977
T1583,F4757
T1584,F11222
T1585,F5342
T1586,F3130
T1587,F10006
T1588,F2820
T1589,F6874
T1590,F17230
T1591,F11348
T1592,F5000
T1593,F16614
T1594,F14724
T1595,F5162
T1596,F17925
T1597,F6404
T1598,F8810
T1599,F15706
T1600,F4288
T1601,F11597
T1602,F9507
T1603,F8848
T1604,F16456
T1605,F15828
T1606,F6757
T1607,F10859
T1608,F12227
T1609,F6124
T1610,F13305
T1611,F9561
T1612,F5727
T1613,F6953
T1614,F11066
T1615,F15703
T1616,F8536
T1617,F17844
T1618,F8782
T1619,F8489
T1620,F17908
T1621,F10204
T1622,F4360
T1623,F6971
T1624,F16160
T1625,F8028
T1626,F8183
T1627,F6200
T1628,F16174
T1629,F3295
T1630,F10031
T1631,F5448
T1632,F13896
T1633,F17794
T1634,F7816
T1635,F16516
T1636,F13714
T1637,F15929
T1638,F6365
T1639,F13172
T1640,F11207
T1641,F14198
T1642,F9610
T1643,F11288
T1644,F4848
T1645,F3737
T1646,F6812
T1647,F11687
T1648,F10860
T1649,F14413
T1650,F4566
T1651,F13730
T1652,F8446
T1653,F12251
T1654,F11452
T1655,F16569
T1656,F7429
T1657,F7803
T1658,F9972
T1659,F8563
T1660,F16375
T1661,F8091
T1662,F13345
T1663,F3510
T1664,F13898
T1665,F11818
T1666,F16926
T1667,F17264
T1668,F13636
T1669,F17463
T1670,F4341
T1671,F3868
T1672,F9824
T1673,F17911
T1674,F12510
T1675,F7978
T1676,F16302
T1677,F13400
T1678,F7285
T1679,F3989
T1680,F15234
T1681,F5134
T1682,F8919
T1683,F12567
T1684,F3393
T1685,F6399
T1686,F7129
T1687,F4516
T1688,F10469
T1689,F10388
T1690,F5349
T1691,F10953
T1692,F9755
T1693,F7073
T1694,F11128
T1695,F8474
T1696,F15907
T1697,F17740
T1698,F12585
T1699,F4946
T1700,F15788
T1701,F3375
T1702,F17972
T1703,F4762
T1704,F17862
T1705,F17100
T1706,F16872
T1707,F13751
T1708,F10356
T1709,F9799
T1710,F3049
T1711,F14009
T1712,F16409
T1713,F8890
T1714,F6322
T1715,F9101
T1716,F6121
T1717,F16807
T1718,F15076
T1719,F6483
T1720,F11694
T1721,F13229
T1722,F10865
T1723,F5557
T1724,F15349
T1725,F16001
T1726,F13018
T1727,F12482
T1728,F5628
T1729,F12843
T1730,F6539
T1731,F14892
T1732,F10470
T1733,F17263
T1734,F14265
T1735,F3982
T1736,F12595
T1737,F5916
T1738,F12910
T1739,F15367
T1740,F6608
T1741,F6273
T1742,F16308
T1743,F14980
T1744,F5955
T1745,F3723
T1746,F9483
T1747,F17203
T1748,F17547
T1749,F4522
T1750,F9220
T1751,F3740
T1752,F17634
T1753,F13255
T1754,F17555
T1755,F13979
T1756,F10577
T1757,F14616
T1758,F16616
T1759,F15822
T1760,F12938
T1761,F2796
T1762,F5181
T1763,F7477
T1764,F15120
T1765,F10825
T1766,F3409
T1767,F4839
T1768,F9895
T1769,F16890
T1770,F7486
T1771,F9984
T1772,F13669
T1773,F8404
T1774,F12643
T1775,F17723
T1776,F7313
T1777,F10376
T1778,F9499
T1779,F17876
T1780,F11924
T1781,F7637
T1782,F10767
T1783,F4143
T1784,F13980
T1785,F14535
T1786,F14618
T1787,F13111
T1788,F9039
T1789,F10543
T1790,F17381
T1791,F17240
T1792,F3128
T1793,F12675
T1794,F9563
T1795,F13238
T1796,F14957
T1797,F4760
T1798,F10553
T1799,F16278
T1800,F9929
T1801,F6375
T1802,F11255
T1803,F6516
T1804,F7969
T1805,F17812
T1806,F6235
T1807,F3160
T1808,F7904
T1809,F16793
T1810,F5549
T1811,F14850
T1812,F3573
T1813,F11015
T1814,F8934
T1815,F6382
T1816,F15948
T1817,F4539
T1818,F14646
T1819,F12959
T1820,F5908
T1821,F16079
T1822,F17452
T1823,F11670
T1824,F4638
T1825,F6569
T1826,F4755
T1827,F12731
T1828,F13426
T1829,F9961
T1830,F3801
T1831,F12774
T1832,F8942
T1833,F15409
T1834,F5261
T1835,F11406
T1836,F5812
T1837,F12146
T1838,F8755
T1839,F16764
T1840,F8029
T1841,F5794
T1842,F6878
T1843,F3430
T1844,F7047
T1845,F10128
T1846,F10068
T1847,F4338
T1848,F15404
T1849,F17909
T1850,F6024
T1851,F8588
T1852,F16850
T1853,F10798
T1854,F8854
T1855,F13527
T1856,F17406
T1857,F4907
T1858,F10793
T1859,F11433
T1860,F13170
T1861,F5081
T1862,F10744
T1863,F14222
T1864,F4028
T1865,F5322
T1866,F13119
T1867,F16981
T1868,F17306
T1869,F10373
T1870,F15588
T1871,F16766
