controlId,fieldId
C350,F16182
C847,F2156
C258,F15035
C44,F1692
C302,F7291
C430,F7141
C827,F5230
C776,F10222
C812,F2263
C262,F10709
C512,F5671
C615,F2746
C496,F16520
C697,F3961
C630,F16440
C775,F10179
C310,F14397
C481,F769
C332,F16466
C392,F8376
C453,F625
C823,F5828
C529,F15327
C318,F10928
C708,F2200
C471,F14753
C254,F11741
C731,F16792
C799,F6666
C713,F4632
C890,F16476
C843,F4745
C16,F4999
C559,F668
C477,F7968
C422,F11315
C295,F7948
C671,F4371
C773,F7923
C490,F13417
C829,F5109
C87,F3266
C318,F7273
C123,F425
C601,F4753
C548,F974
C252,F2353
C410,F8953
C171,F15443
C490,F14545
C699,F14574
C81,F3563
C797,F476
C334,F5782
C682,F1168
C714,F14312
C46,F384
C644,F1405
C760,F8433
C754,F16789
C86,F14673
C172,F2941
C76,F9863
C401,F7112
C800,F11307
C66,F7181
C221,F12225
C229,F10269
C230,F7540
C525,F12546
C897,F7371
C887,F15507
C835,F17694
C463,F1768
C874,F10073
C688,F9012
C456,F5758
C136,F10040
C169,F13209
C285,F10679
C394,F14389
C418,F8443
C872,F10589
C765,F17061
C606,F1222
C895,F250
C205,F356
C243,F14350
C295,F515
C248,F15756
C345,F14043
C64,F9333
C615,F16758
C79,F15691
C448,F5420
C727,F5930
C734,F87
C561,F1723
C707,F12653
C897,F17938
C135,F12556
C721,F1428
C576,F12479
C82,F13828
C576,F9992
C654,F2030
C313,F10233
C897,F5338
C741,F743
C495,F11163
C519,F10017
C727,F11250
C528,F1005
C123,F9994
C302,F2756
C353,F4882
C815,F8525
C97,F2907
C698,F17630
C333,F12976
C218,F11582
C274,F4687
C531,F10720
C548,F1679
C116,F5830
C416,F4240
C40,F8266
C263,F9453
C285,F1968
C600,F7281
C551,F1127
C340,F1523
C715,F9145
C409,F16243
C228,F14769
C836,F16209
C588,F11507
C340,F11192
C107,F3225
C496,F8376
C763,F6881
C62,F2479
C263,F17458
C45,F16274
C824,F587
C473,F13504
C159,F14273
C598,F17168
C748,F10381
C842,F15348
C657,F13473
C445,F16373
C223,F13279
C621,F6110
C229,F2323
C801,F9271
C742,F8423
C780,F1612
C899,F15173
C553,F7666
C597,F11740
C411,F4666
C189,F7986
C205,F12774
C445,F13350
C615,F6943
C292,F12922
C540,F12489
C520,F12945
C321,F11363
C406,F7291
C489,F14932
C517,F2715
C176,F10487
C582,F10251
C662,F14089
C486,F14951
C139,F4456
C175,F10456
C719,F6873
C74,F11468
C31,F669
C406,F6628
C83,F620
C189,F5982
C123,F15279
C153,F13758
C523,F12087
C406,F9345
C647,F16033
C533,F7874
C853,F11664
C71,F6700
C703,F17135
C23,F14761
C123,F11173
C164,F14215
C745,F17033
C483,F11373
C703,F4020
C861,F14550
C794,F12887
C257,F633
C308,F14474
C211,F8566
C478,F422
C135,F5243
C30,F1220
C291,F4643
C863,F415
C790,F6005
C739,F3525
C98,F8384
C786,F11540
C73,F10599
C644,F6084
C418,F15358
C8,F15389
C55,F7989
C474,F3510
C432,F17846
C366,F16646
C341,F3335
C138,F15407
C628,F6623
C312,F7858
C297,F4566
C59,F7032
C436,F15276
C617,F9223
C35,F12263
C195,F11976
C793,F245
C513,F7592
C94,F2228
C155,F9717
C29,F17502
C595,F7768
C509,F12691
C589,F8028
C731,F1468
C679,F8225
C61,F15951
C634,F17707
C574,F7535
C223,F17986
C804,F741
C753,F15243
C213,F14109
C662,F10587
C191,F15843
C159,F1023
C20,F4905
C292,F7932
C63,F4379
C205,F2299
C221,F2787
C262,F717
C522,F10864
C684,F9941
C303,F6405
C365,F17494
C347,F12973
C422,F12812
C457,F4884
C9,F9312
C718,F8433
C889,F16043
C280,F12333
C677,F8833
C756,F10964
C524,F1709
C655,F2415
C793,F1456
C554,F4520
C350,F7423
C335,F6374
C302,F884
C70,F7684
C648,F5140
C185,F17766
C697,F15774
C429,F9138
C405,F10241
C757,F14140
C502,F4053
C342,F310
C841,F6769
C829,F14710
C230,F13689
C396,F14948
C711,F3841
C35,F14917
C699,F5125
C881,F4294
C217,F14007
C216,F5517
C66,F15117
C104,F9846
C316,F6194
C95,F10109
C230,F12610
C522,F16610
C727,F17887
C33,F15523
C608,F12300
C427,F9823
C611,F16068
C763,F10512
C312,F7805
C836,F4410
C775,F16263
C40,F8810
C8,F8764
C134,F720
C766,F14786
C637,F2264
C279,F17145
C521,F9938
C24,F3614
C622,F3100
C342,F11838
C98,F2425
C655,F12694
C830,F2310
C635,F489
C229,F9822
C573,F9768
C271,F16984
C450,F14761
C131,F17102
C487,F12446
C469,F10514
C741,F9156
C351,F17009
C182,F14004
C367,F7458
C205,F5540
C387,F8571
C71,F1933
C365,F6022
C487,F6130
C894,F17161
C622,F12640
C65,F6504
C813,F16573
C391,F9832
C182,F7630
C440,F8779
C173,F17658
C148,F1886
C113,F16128
C717,F10973
C812,F6487
C417,F13174
C754,F15451
C485,F16899
C329,F16550
C581,F12835
C80,F1469
C899,F15973
C438,F17792
C181,F7994
C366,F8799
C570,F6646
C436,F7087
C501,F15146
C533,F10310
C436,F8635
C678,F11517
C494,F2687
C198,F8332
C82,F14920
C132,F6591
C19,F5227
C62,F14128
C737,F14210
C638,F12584
C689,F3500
C474,F9858
C153,F9338
C312,F527
C402,F9343
C509,F15820
C159,F11287
C221,F2845
C831,F7984
C865,F1058
C593,F853
C313,F12828
C33,F1991
C883,F10748
C470,F17058
C754,F8328
C781,F4443
C310,F7361
C697,F12891
C472,F4263
C866,F12240
C673,F5951
C239,F3323
C371,F14453
C565,F7368
C757,F2150
C44,F12638
C241,F14935
C613,F1645
C6,F13930
C111,F2073
C281,F14479
C55,F8258
C96,F10546
C359,F15
C420,F1822
C104,F864
C703,F11305
C378,F3405
C793,F11761
C258,F12841
C644,F8697
C61,F2048
C755,F4261
C722,F11391
C593,F4261
C791,F16525
C170,F14491
C639,F9409
C498,F16689
C742,F12809
C33,F3050
C76,F4369
C661,F16945
C98,F12779
C344,F6064
C811,F1992
C78,F9602
C722,F16007
C880,F7928
C814,F9466
C896,F11722
C753,F11794
C42,F7232
C532,F5002
C774,F7728
C757,F15248
C525,F11633
C8,F14382
C263,F13364
C273,F10563
C366,F15612
C645,F7423
C314,F2738
C188,F16286
C566,F5607
C112,F11115
C480,F13976
C737,F16582
C838,F1645
C823,F7243
C824,F14194
C705,F13061
C549,F6087
C102,F8856
C2,F3346
C76,F5994
C486,F2304
C332,F14956
C780,F3376
C669,F10109
C273,F17512
C335,F1256
C392,F6497
C102,F11602
C891,F13273
C415,F10668
C898,F941
C445,F3427
C345,F10351
C356,F17935
C868,F13463
C531,F5343
C645,F10333
C32,F16897
C891,F4345
C897,F6140
C621,F7515
C225,F11130
C431,F15774
C263,F6314
C697,F3099
C315,F10991
C37,F13599
C451,F1751
C423,F13373
C279,F15614
C844,F5094
C638,F4794
C574,F391
C9,F6369
C64,F17361
C442,F12582
C838,F4863
C687,F1989
C184,F984
C654,F13005
C577,F9510
C429,F5351
C819,F684
C2,F8182
C599,F6910
C429,F4971
C692,F7428
C884,F10825
C435,F3522
C24,F17684
C610,F4228
C456,F5961
C418,F5338
C289,F3909
C518,F15992
C477,F830
C267,F7600
C225,F12625
C206,F13243
C149,F17705
C843,F10445
C411,F14887
C856,F15892
C165,F13876
C886,F8097
C626,F3330
C635,F16933
C345,F3143
C73,F2222
C70,F7964
C686,F16946
C262,F1227
C518,F7891
C823,F13394
C169,F15871
C329,F13022
C815,F17617
C45,F8471
C622,F2905
C73,F17571
C362,F8166
C245,F12041
C708,F15404
C458,F205
C366,F4586
C611,F864
C442,F16846
C326,F14571
C867,F15225
C578,F11489
C277,F12292
C147,F3792
C436,F6256
C593,F4422
C337,F14248
C44,F5853
C357,F17768
C700,F8882
C880,F6115
C671,F1505
C576,F15991
C458,F10850
C637,F4430
C225,F4946
C658,F15532
C136,F9068
C822,F2545
C217,F12609
C201,F9814
C667,F5005
C121,F15979
C300,F4312
C564,F387
C440,F17873
C141,F540
C187,F9387
C652,F16668
C684,F4487
C820,F374
C490,F16181
C832,F7364
C832,F9227
C451,F2925
C694,F2614
C835,F9209
C240,F17423
C239,F15789
C296,F10492
C262,F1484
C232,F13620
C434,F263
C688,F2435
C207,F15048
C255,F343
C178,F12668
C679,F10025
C38,F1710
C885,F6825
C117,F6556
C645,F14738
C510,F2212
C817,F974
C573,F8364
C640,F10930
C213,F12928
C82,F6409
C19,F63
C621,F4494
C358,F5676
C350,F15843
C558,F6523
C636,F11886
C804,F3302
C243,F6327
C389,F15587
C108,F4556
C884,F3607
C731,F17507
C440,F4686
C778,F10938
C897,F2194
C372,F9651
C28,F7666
C852,F11068
C82,F16010
C169,F4764
C524,F12300
C378,F9886
C288,F1563
C239,F17132
C247,F8850
C659,F10251
C554,F14840
C518,F16915
C177,F1109
C463,F15551
C390,F10341
C582,F13814
C822,F15232
C560,F15886
C76,F6517
C114,F11761
C718,F199
C648,F1789
C358,F17804
C384,F1687
C412,F945
C198,F6679
C276,F3041
C432,F4540
C418,F5443
C529,F10266
C501,F2873
C88,F1710
C194,F15141
C792,F11941
C175,F10784
C127,F17607
C877,F3741
C762,F11809
C224,F7168
C707,F5243
C581,F6704
C836,F10361
C225,F6610
C465,F13638
C702,F3838
C841,F5299
C832,F10591
C427,F12250
C761,F2297
C26,F11215
C85,F3214
C142,F11540
C446,F8171
C279,F7841
C668,F3586
C243,F13104
C10,F14279
C227,F7487
C42,F3528
C454,F2335
C389,F8841
C632,F1600
C2,F430
C439,F4704
C89,F12041
C195,F17469
C6,F4017
C487,F1173
C40,F15366
C620,F1146
C447,F5451
C98,F11479
C318,F17474
C703,F13648
C408,F8902
C746,F5433
C350,F11674
C302,F304
C472,F4882
C140,F6982
C217,F5956
C156,F4673
C104,F12720
C121,F7228
C689,F9550
C90,F8166
C518,F5561
C830,F11266
C447,F12428
C637,F13945
C724,F14523
C318,F2043
C532,F3371
C143,F14792
C173,F2910
C848,F12850
C687,F4438
C352,F6310
C391,F7173
C206,F773
C621,F15004
C102,F7612
C182,F7991
C640,F3986
C330,F9876
C421,F15881
C292,F3720
C827,F3128
C529,F1732
C80,F17381
C679,F11228
C465,F1564
C387,F5614
C381,F14150
C579,F14928
C277,F5143
C595,F8666
C274,F14302
C837,F10956
C172,F9658
C234,F9274
C641,F11282
C506,F2394
C340,F13712
C335,F3881
C146,F11720
C21,F638
C65,F3733
C708,F17320
C791,F10625
C482,F1751
C739,F17223
C167,F3579
C111,F13833
C679,F8363
C617,F16169
C465,F11843
C12,F10223
C898,F2768
C425,F13440
C831,F16005
C83,F8328
C302,F4853
C524,F8353
C632,F1673
C365,F2830
C737,F1945
C611,F6512
C321,F1292
C523,F6094
C187,F8500
C258,F6427
C823,F9192
C641,F7504
C838,F13681
C60,F4243
C674,F4687
C352,F3191
C502,F8610
C442,F6915
C325,F15774
C100,F7274
C346,F13873
C582,F787
C298,F13915
C666,F7132
C833,F9546
C885,F7156
C443,F17827
C16,F12330
C829,F8346
C6,F1635
C307,F2979
C315,F7433
C171,F632
C622,F14414
C25,F2210
C349,F16758
C279,F10587
C323,F4545
C515,F12314
C42,F68
C512,F7940
C3,F17130
C855,F13087
C611,F5984
C121,F2712
C16,F7722
C137,F7014
C352,F7035
C823,F1220
C309,F11184
C806,F10617
C457,F8386
C422,F7620
C63,F16356
C440,F6120
C310,F2482
C254,F10230
C387,F4591
C675,F4227
C855,F5020
C760,F6717
C522,F4268
C196,F7264
C199,F1879
C427,F14417
C703,F16050
C481,F12312
C664,F3600
C487,F13176
C527,F6581
C444,F6864
C101,F1363
C259,F1153
C463,F17063
C896,F12205
C514,F7192
C188,F15848
C83,F7986
C266,F5505
C718,F1715
C725,F9505
C32,F11620
C617,F7569
C343,F7699
C635,F7830
C239,F13512
C439,F4540
C489,F292
C587,F7699
C887,F11656
C167,F9412
C80,F4604
C334,F12730
C52,F3633
C805,F16905
C229,F2191
C770,F6230
C447,F16897
C706,F12309
C114,F5025
C483,F5064
C551,F17692
C565,F11343
C341,F14735
C197,F9238
C555,F3261
C640,F11958
C277,F9323
C112,F17220
C190,F17233
C272,F14886
C679,F7179
C548,F11648
C682,F1964
C32,F15115
C350,F9927
C833,F14923
C365,F13840
C360,F14269
C733,F12997
C216,F13000
C529,F13641
C756,F16650
C277,F4545
C625,F2291
C808,F1381
C440,F3923
C68,F8074
C436,F15825
C892,F3163
C194,F4945
C261,F11243
C316,F11823
C538,F5502
C161,F15891
C878,F41
C411,F10123
C190,F12125
C310,F11405
C373,F6304
C730,F16230
C296,F6068
C272,F12594
C811,F9104
C639,F14179
C236,F105
C383,F13920
C118,F12941
C528,F15197
C718,F13066
C832,F3992
C240,F12743
C746,F6866
C200,F12653
C717,F2325
C664,F9248
C325,F6502
C436,F1176
C781,F17648
C230,F15940
C86,F699
C320,F6648
C774,F10248
C427,F14933
C59,F11533
C647,F13835
C70,F6441
C703,F15473
C282,F14297
C38,F5774
C611,F16504
C656,F9086
C864,F1292
C629,F17591
C893,F1127
C261,F4522
C31,F2717
C449,F10232
C503,F8374
C594,F2663
C673,F10548
C854,F10830
C274,F3881
C755,F1291
C15,F9561
C275,F15597
C449,F17448
C586,F9425
C738,F1864
C218,F16287
C898,F2232
C158,F17341
C775,F11863
C368,F13099
C754,F325
C131,F314
C736,F8612
C230,F799
C329,F6692
C62,F17110
C350,F4141
C275,F8812
C154,F7227
C539,F15833
C364,F15051
C633,F11532
C188,F748
C285,F14327
C856,F8220
C550,F17614
C697,F787
C119,F8579
C856,F11689
C882,F8653
C611,F5563
C13,F2732
C541,F12435
C158,F10253
C448,F15471
C719,F13948
C284,F15446
C834,F7989
C335,F13017
C147,F13674
C171,F16869
C251,F6463
C594,F10823
C640,F11920
C65,F3035
C355,F16930
C88,F7473
C581,F6527
C854,F15892
C182,F2327
C137,F14276
C86,F15333
C97,F13468
C126,F835
C137,F17027
C225,F15197
C308,F5169
C624,F11876
C802,F4027
C296,F14304
C509,F8010
C148,F10064
C338,F71
C219,F8276
C197,F8645
C345,F10682
C888,F2907
C259,F17363
C101,F6951
C621,F12515
C817,F2197
C716,F2930
C897,F17043
C302,F5714
C167,F12643
C22,F3651
C727,F8041
C303,F699
C401,F3405
C624,F2051
C217,F171
C596,F13528
C0,F12235
C826,F4194
C416,F7248
C556,F10828
C844,F2812
C766,F12779
C445,F7614
C245,F6246
C621,F16061
C438,F16761
C427,F17892
C525,F6735
C435,F14012
C655,F10779
C1,F4414
C514,F6291
C6,F3879
C166,F999
C13,F9822
C224,F15387
C465,F13712
C594,F120
C717,F5269
C548,F15845
C763,F6027
C823,F6527
C40,F5364
C43,F16176
C721,F5030
C831,F2699
C520,F14714
C829,F3602
C107,F15756
C821,F2489
C431,F5515
C559,F15458
C22,F11381
C598,F14473
C807,F7587
C489,F16594
C310,F689
C370,F9892
C222,F5815
C440,F6648
C450,F16571
C399,F14500
C632,F4979
C868,F6082
C268,F10722
C28,F3379
C421,F148
C808,F11343
C274,F7153
C3,F2253
C703,F13176
C565,F11641
C763,F6233
C454,F9804
C237,F2984
C566,F8443
C73,F10953
C467,F7414
C706,F10617
C441,F15728
C474,F17674
C887,F4858
C655,F8589
C164,F11538
C164,F994
C5,F4276
C16,F8281
C172,F6945
C754,F6910
C896,F10900
C813,F11569
C619,F15991
C597,F15330
C320,F15261
C735,F11530
C653,F11694
C26,F14571
C266,F5450
C786,F15123
C162,F86
C210,F727
C827,F8071
C181,F4125
C97,F5225
C652,F4745
C136,F7199
C131,F5128
C729,F8038
C163,F17212
C799,F16502
C593,F6043
C58,F5173
C125,F317
C721,F12838
C541,F13679
C64,F1815
C463,F7582
C517,F2481
C727,F11514
C465,F10048
C82,F7028
C637,F287
C78,F7853
C137,F16035
C66,F10704
C139,F16215
C267,F17664
C30,F14976
C689,F4679
C639,F6017
C483,F948
C729,F12561
C727,F4253
C3,F10115
C352,F1248
C40,F16025
C501,F13953
C373,F12653
C292,F5827
C792,F14540
C229,F5787
C502,F17005
C644,F11576
C327,F4100
C31,F7499
C377,F12353
C489,F5273
C156,F7994
C519,F12340
C616,F8705
C342,F4256
C622,F7586
C298,F12335
C432,F8679
C322,F16153
C410,F1266
C590,F4117
C12,F14473
C770,F14010
C806,F728
C870,F9869
C771,F8528
C186,F369
C146,F14005
C446,F10335
C332,F13309
C85,F358
C765,F14466
C146,F4015
C719,F9535
C826,F10525
C52,F13361
C393,F6128
C633,F3045
C100,F16282
C796,F11820
C565,F4735
C266,F10569
C793,F11630
C572,F16099
C898,F2625
C627,F17304
C707,F12686
C856,F3756
C346,F12266
C435,F12115
C508,F14220
C421,F4604
C726,F7979
C40,F13535
C452,F8009
C859,F4809
C132,F4515
C824,F623
C464,F15817
C318,F12697
C419,F353
C694,F1945
C299,F14694
C258,F8987
C394,F16453
C891,F7676
C884,F13450
C63,F6256
C393,F17966
C490,F9971
C84,F6527
C399,F6217
C294,F3130
C714,F10486
C75,F8984
C229,F517
C147,F5753
C312,F3427
C594,F461
C448,F14632
C12,F11194
C832,F17068
C559,F1045
C429,F4423
C445,F13023
C887,F6394
C590,F122
C440,F1838
C201,F8345
C869,F12040
C225,F12661
C8,F13710
C71,F17182
C367,F17371
C234,F15653
C759,F17169
C456,F3404
C697,F15463
C712,F3853
C608,F10841
C82,F8850
C443,F15994
C508,F1387
C263,F17841
C672,F15781
C695,F11964
C493,F7910
C492,F2199
C468,F13099
C229,F2425
C32,F14679
C256,F17945
C839,F4669
C401,F402
C385,F9433
C535,F8917
C26,F6740
C710,F7648
C326,F15932
C764,F2253
C654,F525
C816,F5464
C753,F13309
C293,F16007
C720,F12556
C231,F14902
C253,F30
C446,F11668
C458,F16512
C479,F17009
C434,F17892
C435,F12248
C740,F12512
C543,F13173
C139,F6289
C352,F5264
C71,F7528
C663,F13017
C498,F12453
C214,F6771
C249,F453
C884,F7986
C462,F3676
C756,F11592
C565,F8676
C868,F3774
C668,F13661
C602,F5692
C837,F1948
C316,F1282
C594,F9909
C472,F6087
C698,F1245
C21,F9266
C809,F6586
C410,F2573
C6,F148
C382,F13792
C725,F9728
C12,F12007
C572,F7827
C265,F12748
C831,F7050
C394,F3663
C857,F14246
C458,F6964
C547,F11933
C323,F15464
C184,F2361
C258,F3268
C395,F14168
C189,F730
C106,F14441
C492,F13068
C163,F7527
C239,F12392
C495,F7800
C405,F3430
C438,F12323
C846,F4200
C210,F5635
C723,F11053
C709,F2414
C486,F9532
C295,F17663
C486,F7840
C637,F13494
C736,F8363
C849,F5900
C373,F8443
C805,F10535
C558,F8840
C88,F5443
C470,F11945
C513,F28
C281,F17658
C229,F2666
C38,F10271
C585,F12946
C147,F6891
C504,F4756
C139,F17068
C429,F345
C28,F6223
C76,F15158
C259,F291
C580,F2410
C396,F13320
C218,F16174
C632,F9399
C443,F11179
C26,F15638
C895,F9661
C219,F11423
C125,F5881
C437,F17615
C206,F10386
C830,F12969
C728,F7473
C162,F4330
C609,F6222
C707,F7464
C188,F8771
C135,F4745
C504,F6556
C883,F16745
C764,F13030
C533,F11248
C458,F5802
C791,F17110
C883,F15841
C193,F809
C26,F3227
C412,F8258
C548,F13873
C813,F692
C661,F6943
C893,F2543
C671,F17648
C81,F4617
C495,F14984
C104,F14900
C352,F341
C173,F2707
C323,F13520
C549,F6153
C614,F11704
C806,F6522
C192,F4797
C545,F11346
C661,F14528
C149,F9464
C139,F5635
C402,F15240
C308,F11510
C532,F14025
C224,F6522
C846,F1410
C404,F15938
C586,F15682
C548,F1830
C274,F13371
C767,F3212
C835,F10322
C474,F13661
C781,F11346
C29,F12114
C88,F2281
C302,F6069
C152,F558
C160,F2356
C439,F17191
C842,F16858
C150,F10986
C481,F11982
C101,F5986
C554,F7989
C219,F15791
C484,F6043
C28,F12704
C811,F11833
C169,F6735
C196,F11127
C304,F2174
C666,F15673
C788,F2771
C616,F7922
C61,F1202
C503,F7281
C509,F13827
C887,F1727
C66,F10768
C628,F5300
C837,F16399
C325,F4886
C318,F8089
C464,F15428
C524,F2722
C169,F6281
C567,F5705
C456,F13589
C707,F13587
C169,F12873
C379,F366
C436,F11087
C705,F7889
C50,F11379
C181,F1620
C431,F17566
C456,F6202
C629,F17553
C210,F9940
C257,F3248
C635,F17958
C298,F8446
C856,F11641
C447,F8068
C602,F5461
C622,F8479
C154,F7600
C433,F16420
C94,F14200
C850,F9527
C498,F1207
C132,F1591
C768,F11635
C451,F8494
C57,F6527
C222,F4612
C399,F3046
C525,F10310
C389,F5317
C632,F2261
C537,F2943
C415,F1933
C324,F1266
C729,F1935
C415,F15915
C735,F915
C79,F17168
C812,F7497
C270,F17822
C751,F4968
C481,F4776
C632,F4868
C254,F13114
C558,F6032
C871,F14764
C73,F16507
C673,F13391
C797,F3986
C755,F4294
C623,F7569
C143,F9100
C418,F9107
C58,F14725
C522,F17071
C245,F15002
C277,F4797
C180,F2250
C714,F1704
C472,F5961
C34,F4976
C332,F7346
C210,F10607
C843,F4907
C470,F273
C829,F14150
C429,F17002
C872,F10045
C387,F17541
C189,F15538
C147,F850
C526,F3928
C513,F14497
C344,F8250
C13,F14500
C369,F2987
C177,F3632
C635,F17940
C70,F6882
C787,F9968
C59,F5479
C756,F17722
C564,F6135
C300,F12622
C499,F16000
C93,F16651
C503,F1702
C244,F1310
C29,F5776
C875,F10456
C861,F14009
C813,F17568
C717,F16822
C530,F6679
C774,F16699
C804,F2000
C324,F6940
C408,F3712
C785,F6628
C213,F11741
C492,F8899
C216,F12456
C810,F3143
C590,F14187
C150,F16405
C481,F2866
C98,F11445
C19,F8241
C15,F13433
C287,F13099
C751,F14558
C81,F17723
C226,F8658
C645,F7330
C861,F17304
C604,F4187
C391,F3556
C769,F11997
C128,F1653
C270,F7692
C132,F10361
C114,F407
C284,F2638
C468,F16599
C100,F9630
C481,F14540
C554,F17279
C409,F15020
C809,F8282
C404,F10566
C196,F17074
C613,F650
C383,F9435
C661,F13322
C160,F6187
C39,F3353
C432,F15669
C17,F3500
C831,F969
C593,F4279
C78,F12827
C718,F14387
C666,F592
C560,F6100
C277,F9974
C877,F5199
C800,F1573
C572,F4576
C882,F4382
C71,F10697
