fieldId,reportId
F16633,R249
F17484,R443
F16966,R362
F16402,R356
F16555,R288
F17714,R467
F17446,R575
F17829,R15
F16526,R584
F17297,R17
F17391,R373
F16611,R114
F17508,R103
F17662,R95
F17889,R530
F17707,R408
F16512,R95
F17301,R355
F16323,R16
F17067,R211
F16852,R547
F16695,R170
F16336,R587
F16656,R180
F17838,R462
F16607,R511
F17656,R8
F17132,R287
F16589,R261
F16366,R387
F17817,R535
F16900,R574
F17311,R598
F17535,R534
F17240,R16
F16330,R145
F17432,R463
F17150,R320
F17517,R400
F17873,R450
F16828,R56
F17665,R426
F16299,R405
F16734,R239
F17459,R111
F16765,R144
F17851,R495
F17975,R290
F17359,R352
F17175,R390
F17561,R482
F17947,R125
F17358,R496
F17219,R425
F16546,R511
F17518,R7
F17638,R310
F17910,R551
F16589,R150
F17854,R490
F16515,R483
F17224,R126
F16475,R204
F17717,R595
F16620,R394
F17632,R343
F17148,R132
F17159,R205
F16903,R317
F17069,R96
F17661,R508
F16284,R198
F16542,R166
F16959,R490
F16535,R300
F17252,R456
F17337,R529
F17737,R387
F16205,R13
F17591,R119
F16516,R513
F16879,R513
F17006,R170
F17790,R293
F17151,R68
F17175,R277
F16500,R159
F17550,R175
F16512,R105
F17216,R311
F16657,R572
F17566,R537
F17635,R109
F17706,R364
F16642,R96
F17317,R81
F17506,R276
F17783,R326
F16247,R421
F17523,R502
F16731,R34
F17023,R16
F17569,R323
F17666,R418
F16919,R597
F17166,R63
F16292,R68
F17764,R58
F16371,R442
F17457,R304
F16663,R595
F16758,R106
F16898,R497
F17796,R225
F16852,R506
F16379,R99
F17263,R111
F16771,R3
F16207,R348
F16941,R333
F17032,R327
F16962,R162
F17726,R443
F16918,R514
F17023,R290
F17632,R111
F17153,R387
F16796,R366
F17251,R582
F17437,R495
F16434,R67
F17095,R31
F17435,R497
F16620,R77
F17512,R576
F17971,R69
F17988,R155
F16265,R427
F16810,R443
F16662,R538
F17786,R64
F17537,R120
F17937,R20
F16534,R145
F17791,R399
F17334,R265
F16630,R217
F17464,R74
F17265,R511
F16959,R152
F16449,R515
F17797,R470
F17671,R366
F17688,R349
F17938,R34
F17928,R463
F17860,R378
F16318,R181
F17693,R238
F17591,R78
F17442,R396
F16775,R572
F16243,R509
F17289,R137
F16999,R390
F17720,R485
F16401,R567
F16925,R18
F16754,R464
F16411,R354
F17833,R474
F17527,R89
F16709,R325
F17984,R367
F16640,R198
F17932,R200
F17722,R247
F17428,R436
F17590,R305
F17122,R554
F17548,R408
F16469,R515
F17268,R75
F17553,R429
F17636,R130
F17920,R291
F17152,R486
F17086,R493
F16336,R41
F16873,R442
F16783,R234
F16530,R454
F16790,R381
F16285,R13
F16832,R560
F16451,R452
F17708,R50
F16381,R556
F17211,R372
F17267,R215
F17068,R70
F17769,R88
F17509,R504
F17188,R354
F17237,R370
F16874,R485
F17177,R64
F16708,R550
F16846,R296
F17168,R439
F16714,R427
F16237,R182
F16288,R535
F17047,R196
F17462,R570
F16926,R432
F17964,R149
F17356,R73
F16332,R238
F17298,R321
F17273,R95
F17370,R334
F16937,R316
F16771,R342
F17916,R225
F16633,R306
F17079,R205
F17333,R239
F17912,R466
F17060,R217
F16503,R55
F17215,R344
F17643,R457
F17595,R520
F16521,R372
F16225,R37
F17559,R365
F17946,R103
F17943,R508
F16617,R418
F17530,R245
F17586,R474
F16236,R133
F16425,R564
F16670,R435
F16940,R370
F17909,R400
F17052,R3
F17107,R542
F17995,R362
F17648,R149
F16759,R248
F16305,R48
F16968,R519
F17758,R300
F16509,R519
F17498,R147
F16946,R244
F17461,R553
F17575,R583
F17096,R476
F17621,R134
F17899,R561
F17242,R63
F16645,R164
F16630,R76
F17228,R176
F16297,R207
F17684,R481
F17447,R280
F17915,R333
F17507,R514
F16401,R63
F17732,R246
F16331,R411
F16452,R393
F16570,R304
F17466,R14
F16881,R180
F16727,R482
F17070,R99
F16810,R106
F17570,R17
F16556,R542
F16512,R486
F16212,R158
F16579,R430
F16863,R374
F16244,R199
F16868,R462
F16873,R308
F17629,R442
F17372,R87
F17001,R362
F17680,R566
F16648,R430
F16502,R266
F17662,R335
F16375,R289
F16356,R149
F17062,R8
F17759,R520
F16580,R208
F17993,R450
F17831,R478
F16559,R546
F16436,R144
F16851,R224
F16945,R198
F17456,R299
F16775,R471
F17701,R577
F16551,R400
F17919,R300
F16231,R385
F17873,R300
F17136,R187
F16381,R239
F17405,R591
F17445,R295
F17847,R490
F17390,R270
F16452,R122
F16578,R483
F16456,R475
F16269,R556
F17431,R228
F17614,R424
F16324,R499
F17830,R307
F17950,R203
F17998,R324
F17029,R18
F16314,R40
F16349,R508
F16506,R68
F17874,R513
F17161,R18
F17924,R544
F16895,R266
F16647,R411
F17084,R493
F16260,R575
F17287,R111
F16926,R109
F17902,R547
F17790,R414
F16418,R421
F16428,R98
F16443,R251
F17043,R113
F17545,R532
F17955,R358
F16850,R268
F17941,R210
F17473,R176
F16357,R281
F16420,R182
F17093,R407
F17849,R64
F17720,R376
F16909,R568
F16608,R227
F17003,R88
F17253,R570
F16698,R579
F16621,R370
F16799,R568
F16866,R63
F16531,R554
F17480,R441
F16865,R593
F16600,R137
F16756,R120
F17653,R93
F17314,R428
F16233,R439
F16229,R523
F16913,R448
F16259,R525
F17634,R206
F17707,R103
F17891,R116
F17588,R550
F17002,R95
F17695,R546
F17354,R271
F17592,R390
F16406,R293
F17474,R576
F17534,R492
F17056,R576
F17781,R434
F16974,R364
F16235,R173
F16412,R533
F17202,R247
F16223,R392
F16431,R281
F16466,R561
F16272,R585
F17965,R87
F17107,R439
F16834,R314
F17770,R289
F17798,R591
F16319,R414
F17271,R563
F17653,R444
F16201,R377
F17729,R481
F16379,R176
F16652,R29
F17154,R586
F17202,R549
F17412,R139
F17991,R173
F17404,R422
F17760,R134
F17956,R51
F16610,R338
F17140,R479
F16463,R568
F16794,R500
F16200,R392
F17691,R449
F16737,R9
F17148,R177
F17854,R449
F17672,R131
F16637,R107
F16831,R548
F17837,R40
F17828,R441
F17983,R65
F16667,R130
F16337,R313
F17176,R33
F16439,R28
F17232,R273
F17839,R348
F17883,R359
F16423,R555
F17560,R218
F17401,R353
F17598,R551
F17651,R182
F16595,R47
F17236,R116
F17889,R485
F17035,R131
F16797,R101
F16477,R192
F16464,R217
F17486,R504
F16673,R189
F16596,R593
F17967,R181
F17545,R14
F17192,R190
F16292,R551
F16538,R483
F17706,R140
F17327,R342
F16532,R64
F16496,R381
F16222,R481
F16718,R345
F17483,R501
F17256,R317
F17183,R122
F17573,R253
F17896,R393
F17258,R355
F16851,R92
F16889,R303
F16340,R72
F17210,R69
F17164,R184
F17219,R237
F16206,R249
F17200,R481
F16934,R47
F17958,R164
F17278,R514
F16426,R471
F16203,R125
F17207,R242
F17346,R37
F17480,R448
F16550,R206
F16580,R391
F17583,R432
F16965,R384
F16499,R297
F17556,R290
F16419,R132
F16639,R501
F16546,R521
F17645,R500
F17766,R433
F16548,R514
F17742,R445
F17116,R448
F16686,R68
F17419,R316
F16489,R282
F16605,R505
F17220,R272
F16580,R364
F17501,R554
F16577,R12
F17549,R150
F16329,R459
F17426,R579
F17042,R100
F16474,R133
F17808,R102
F17762,R169
F16308,R448
F16889,R492
F17651,R420
F16952,R258
F16471,R323
F16334,R407
F17918,R494
F16603,R445
F17789,R293
F17674,R56
F16491,R12
F17207,R343
F16502,R375
F17182,R66
F17631,R159
F17457,R34
F17566,R394
F17967,R280
F17613,R122
F17811,R146
F17226,R386
F16348,R233
F17848,R319
F17520,R490
F16867,R453
F17329,R23
F17676,R25
F17229,R275
F16288,R596
F16636,R41
F16937,R355
F17598,R396
F16386,R50
F16569,R288
F16492,R522
F16619,R165
F17409,R152
F17387,R231
F16752,R184
F17677,R244
F16722,R196
F16692,R169
F16367,R131
F16792,R84
F17257,R137
F17464,R367
F17494,R469
F16918,R542
F17181,R279
F16711,R568
F17458,R136
F17823,R254
F16389,R384
F17249,R18
F17857,R568
F16713,R163
F17442,R195
F17235,R98
F16965,R338
F16968,R25
F17342,R160
F16444,R131
F17802,R55
F16557,R304
F16293,R469
F16245,R422
F17688,R118
F16992,R458
F17880,R487
F16369,R213
F16362,R319
F17474,R106
F17787,R561
F16814,R151
F16955,R218
F16310,R201
F16803,R146
F17009,R564
F17488,R220
F16356,R351
F16380,R595
F16942,R295
F17456,R529
F17930,R260
F16930,R172
F17676,R254
F16457,R530
F17746,R271
F16426,R218
F16640,R53
F17543,R6
F16225,R209
F16216,R190
F16255,R89
F16214,R515
F17263,R281
F16749,R233
F17393,R44
F17342,R148
F17603,R533
F16641,R355
F16919,R119
F17852,R54
F16299,R135
F16558,R533
F17214,R142
F17109,R134
F16910,R389
F17332,R455
F16932,R140
F17262,R179
F17395,R454
F16738,R393
F16561,R503
F17467,R435
F17875,R388
F17554,R162
F17939,R595
F17716,R252
F17639,R546
F17804,R190
F17565,R108
F17060,R575
F17628,R139
F16207,R366
F17761,R197
F17887,R419
F16256,R550
F17353,R169
F16674,R16
F16892,R374
F17834,R492
F17853,R553
F16588,R353
F16401,R352
F17910,R209
F17716,R37
F16365,R239
F16321,R199
F17149,R294
F16574,R35
F16820,R337
F17599,R65
F16735,R512
F17368,R223
F17312,R53
F16669,R152
F17946,R150
F17243,R543
F17460,R494
F16345,R167
F17917,R419
F17392,R227
F16649,R513
F17882,R67
F16509,R239
F16447,R436
F17579,R297
F17463,R501
F17469,R36
F17504,R129
F16802,R56
F17845,R531
F17626,R279
F17581,R181
F17314,R557
F17794,R363
F17197,R57
F17365,R110
F16341,R115
F17304,R522
F16521,R588
F16727,R86
F16997,R220
F17687,R346
F17915,R434
F17458,R294
F16311,R573
F16679,R203
F17206,R441
F16296,R23
F17978,R124
F17910,R386
F16462,R525
F17324,R32
F17737,R460
F16340,R504
F16327,R516
F17257,R340
F17736,R9
F16383,R270
F16528,R528
F16364,R354
F17018,R553
F17102,R6
F17150,R232
F17328,R370
F17817,R298
F16212,R232
F16493,R28
F16481,R575
F16230,R308
F16921,R427
F17941,R247
F16675,R537
F16786,R118
F17719,R74
F17451,R382
F17273,R457
F17946,R361
F17547,R346
F16771,R1
F17395,R317
F16391,R490
F17604,R335
F16693,R351
F17332,R138
F17027,R582
F16207,R520
F16543,R137
F16963,R184
F17669,R122
F17375,R523
F16626,R569
F17421,R582
F17833,R89
F16783,R581
F16377,R571
F17482,R410
F17980,R345
F17735,R144
F16492,R151
F16838,R500
F17502,R115
F16306,R141
F17447,R327
F17320,R89
F16890,R296
F16745,R172
F17647,R536
F16302,R302
F16416,R510
F16955,R327
F17500,R286
F16432,R519
F17141,R249
F16696,R339
F17328,R379
F16861,R9
F17058,R251
F17767,R67
F16770,R393
F17511,R518
F17742,R69
F16203,R433
F17801,R71
F16597,R147
F17881,R363
F17737,R364
F17814,R455
F17734,R340
F17036,R405
F16883,R86
F17091,R85
F16725,R102
F17396,R485
F16343,R19
F16378,R376
F17752,R257
F17630,R25
F16845,R208
F17240,R433
F17786,R452
F16657,R157
F16470,R478
F17698,R383
F17922,R130
F16638,R565
F17903,R399
F16846,R238
F16939,R465
F16567,R542
F17294,R494
F17759,R167
F16440,R168
F16912,R251
F16729,R134
F17133,R564
F16956,R285
F16713,R66
F17131,R117
F16929,R251
F16434,R420
F17187,R581
F17436,R75
F17856,R452
F17757,R309
F16341,R435
F16780,R123
F17836,R215
F16766,R49
F17345,R127
F16503,R507
F17327,R358
F17309,R182
F17380,R196
F16719,R591
F16586,R465
F17441,R308
F17179,R487
F17754,R378
F17743,R203
F17707,R275
F17945,R151
F16891,R117
F17515,R120
F17821,R420
F17039,R13
F17492,R454
F17705,R65
F16618,R248
F16897,R489
F16231,R6
F16350,R451
F17718,R158
F17979,R70
F16855,R546
F16903,R11
F17095,R228
F16284,R587
F16738,R574
F16788,R539
F17188,R277
F16498,R415
F17625,R474
F17071,R5
F17449,R210
F16917,R348
F17120,R309
F17807,R142
F16801,R446
F17407,R369
F16439,R382
F17357,R508
F17686,R175
F16423,R424
F17283,R308
F16655,R523
F17066,R21
F16417,R121
F16242,R500
F16641,R349
F17689,R264
F17752,R443
F17603,R143
F17435,R120
F17911,R78
F16664,R353
F17584,R430
F17633,R300
F17805,R437
F16654,R412
F16522,R411
F17577,R289
F16593,R297
F16632,R330
F16829,R553
F17793,R234
F16724,R518
F17280,R400
F17845,R524
F17309,R452
F16804,R147
F17593,R490
F16988,R167
F16944,R24
F17610,R343
F16374,R380
F16496,R67
F16564,R230
F16610,R6
F17516,R69
F16211,R230
F16927,R244
F16590,R583
F17778,R315
F16608,R389
F16854,R104
F17806,R463
F17953,R246
F17394,R420
F17076,R468
F16917,R587
F16623,R497
F17516,R82
F17715,R347
F17818,R280
F16493,R123
F17859,R588
F16607,R570
F17827,R581
F17161,R578
F16547,R234
F16930,R72
F17175,R460
F16903,R41
F17101,R216
F17547,R1
F16273,R65
F16344,R80
F16420,R433
F17465,R505
F17900,R6
F17884,R141
F16742,R537
F16779,R177
F17116,R345
F17778,R169
F16753,R473
F16300,R283
F17020,R406
F16957,R149
F17589,R391
F17383,R36
F16277,R568
F17363,R120
F17824,R149
F17234,R309
F17341,R302
F16906,R169
F16318,R157
F16575,R306
F16958,R141
F16607,R133
F16966,R219
F16583,R288
F16847,R108
F17219,R25
F17117,R12
F16327,R2
F17794,R358
F16834,R212
F16944,R77
F16517,R336
F17385,R551
F17826,R439
F16902,R218
F16365,R270
F17422,R41
F16259,R489
F16861,R412
F17270,R237
F16935,R399
F17781,R286
F17980,R329
F17193,R331
F17756,R75
F16271,R314
F17024,R521
F17579,R331
F16857,R81
F16946,R138
F17768,R77
F17866,R555
F17236,R335
F17145,R253
F17243,R31
F17959,R422
F17007,R17
F17619,R70
F17084,R81
F16270,R406
F16646,R22
F17651,R44
F17841,R71
F17054,R426
F17178,R87
F16558,R127
F16906,R50
F17446,R391
F17400,R100
F17969,R442
F17868,R385
F17953,R81
F17497,R567
F16255,R466
F16746,R424
F16500,R424
F16436,R429
F16497,R155
F17055,R13
F16303,R411
F17821,R338
F16893,R553
F17078,R51
F16387,R587
F17093,R75
F16584,R508
F17117,R413
F17550,R486
F16312,R564
F16859,R142
F17031,R212
F16365,R198
F17448,R229
F17410,R141
F16478,R404
F17546,R59
F17235,R336
F16739,R63
F17043,R316
F17236,R564
F16226,R560
F16861,R119
F17397,R455
F17307,R82
F16765,R567
F16812,R446
F17580,R76
F16630,R372
F16838,R110
F16741,R335
F17609,R65
F17198,R510
F16518,R563
F17887,R205
F17593,R371
F17430,R75
F17515,R272
F16461,R37
F16275,R555
F16373,R17
F17722,R495
F17816,R77
F16395,R201
F17921,R534
F17994,R305
F17697,R499
F17867,R445
F16974,R504
F17246,R319
F17473,R518
F16782,R139
F17711,R62
F16776,R26
F17733,R554
F16965,R102
F17601,R552
F16826,R22
F16568,R381
F17830,R535
F17470,R58
F16446,R100
F17372,R58
F16519,R241
F17350,R564
F16704,R95
F16578,R100
F17745,R83
F16485,R365
F16764,R461
F16383,R466
F16320,R244
F16333,R51
F16734,R357
F17585,R309
F17101,R104
F16251,R130
F16813,R350
F17295,R8
F16734,R211
F16498,R157
F17813,R1
F17850,R517
F16945,R245
F17185,R541
F16400,R263
F16315,R117
F17144,R502
F16358,R298
F17253,R317
F17607,R223
F17174,R442
F16601,R520
F16832,R59
F17596,R438
F17753,R158
F17626,R93
F17197,R132
F16254,R273
F17438,R56
F17211,R87
F17765,R593
F16710,R579
F17539,R45
F17555,R280
F16542,R239
F16629,R484
F17141,R301
F17254,R29
F16737,R549
F16372,R237
F16291,R513
F17678,R166
F17230,R193
F17185,R504
F17534,R446
F17906,R282
F16210,R418
F16978,R268
F16681,R79
F17295,R263
F17339,R184
F17526,R216
F17034,R149
F17764,R12
F17247,R419
F17293,R81
F16472,R573
F17348,R587
F16241,R237
F17273,R140
F16814,R596
F17345,R119
F17779,R35
F16619,R429
F16313,R403
F16445,R194
F17857,R144
F17613,R168
F17850,R526
F17268,R540
F17500,R9
F17059,R21
F17692,R51
F17402,R462
F16789,R20
F16628,R268
F17380,R177
F16321,R245
F16329,R136
F16484,R143
F16554,R191
F16723,R377
F17019,R129
F17700,R411
F17382,R400
F16317,R209
F16706,R113
F17996,R508
F16899,R293
F17191,R408
F16296,R554
F16629,R591
F16665,R434
F17025,R439
F17976,R84
F16442,R283
F17383,R489
F16572,R302
F16291,R249
F17345,R548
F17990,R187
F17146,R534
F16798,R495
F16949,R82
F17377,R329
F17755,R139
F17948,R194
F16761,R537
F17506,R108
F17967,R114
F17519,R138
F16346,R71
F17563,R313
F16914,R130
F17138,R284
F17987,R253
F16978,R36
F17887,R487
F16878,R48
F16368,R26
F16373,R537
F17216,R267
F17925,R112
F17872,R551
F16376,R259
F17096,R204
F17606,R478
F16750,R193
F17389,R297
F17109,R145
F16977,R225
F16262,R502
F17531,R468
F16386,R548
F17238,R477
F17205,R275
F16835,R62
F16329,R523
F17334,R215
F16549,R564
F17914,R263
F17860,R413
F17209,R192
F17195,R402
F16890,R173
F16433,R557
F17111,R147
F17115,R371
F17452,R430
F17279,R69
F16833,R276
F17612,R137
F17371,R465
F17456,R3
F16730,R59
F16441,R521
F17496,R486
F17583,R338
F16481,R293
F17233,R522
F17953,R89
F17546,R73
F17647,R296
F16685,R35
F17838,R427
F17521,R322
F17129,R298
F16382,R356
F16579,R526
F16729,R472
F16467,R1
F16769,R599
F17690,R289
F17415,R320
F16690,R330
F17414,R199
F17786,R389
F17462,R83
F17757,R281
F17643,R577
F17712,R102
F16717,R197
F16881,R443
F17930,R598
F17483,R96
F16934,R351
F17698,R502
F17142,R41
F17252,R431
F16563,R566
F17321,R553
F16924,R410
F17602,R519
F17284,R434
F16680,R130
F16687,R329
F17510,R148
F17892,R214
F16463,R555
F16239,R396
F17344,R410
F16669,R225
F16736,R329
F16238,R145
F16227,R371
F17272,R137
F17807,R365
F17215,R341
F16398,R257
F16372,R519
F16237,R414
F16794,R277
F17106,R237
F17048,R483
F17754,R581
F16830,R119
F17116,R399
F16694,R77
F16822,R435
F16946,R551
F17689,R207
F17972,R123
F17255,R71
F16613,R291
F16202,R268
F17761,R330
F17511,R239
F17539,R411
F16995,R78
F16709,R419
F17537,R234
F16268,R88
F16617,R13
F17008,R210
F17434,R2
F17179,R326
F17304,R276
F16921,R302
F17172,R204
F17573,R187
F16552,R373
F17234,R279
F16483,R533
F17935,R35
F17893,R40
F17238,R18
F16684,R356
F16843,R532
F17440,R181
F17403,R67
F17172,R547
F17036,R512
F17992,R389
F17552,R157
F16489,R543
F17353,R580
F17433,R483
F17434,R213
F16413,R389
F16622,R59
F16789,R458
F17434,R451
F16337,R476
F17560,R55
F17680,R430
F16963,R222
F16969,R527
F16491,R81
F17302,R577
F17253,R7
F16297,R448
F16573,R206
F17239,R258
F17268,R280
F16502,R358
F16307,R421
F17288,R557
F16679,R425
F17391,R458
F16424,R343
F17118,R154
F16811,R16
F17826,R586
F16860,R137
F16822,R495
F17468,R244
F17576,R170
F17271,R39
F16836,R86
F16700,R571
F17231,R395
F17380,R48
F17896,R277
F16208,R117
F17295,R585
F17859,R453
F17261,R513
F17325,R515
F16853,R98
F16503,R430
F16843,R165
F17713,R394
F17329,R51
F17769,R545
F17420,R57
F16822,R113
F17874,R124
F16627,R472
F16856,R372
F16461,R133
F17533,R496
F16606,R567
F17048,R383
F17624,R378
F17142,R571
F16359,R78
F16468,R257
F16984,R290
F16397,R420
F17067,R151
F17710,R353
F16884,R28
F16415,R64
F16513,R569
F17357,R488
F16224,R289
F16728,R462
F17457,R452
F17878,R20
F16872,R306
F17097,R323
F17863,R494
F17904,R238
F17081,R137
F16282,R100
F17352,R118
F17318,R386
F16978,R560
F17007,R344
F17812,R512
F16847,R125
F17413,R594
F16286,R527
F16958,R161
F17658,R585
F16914,R202
F17100,R121
F17139,R340
F16217,R291
F16342,R251
F16351,R555
F17165,R514
F16337,R270
F17532,R415
F17869,R377
F17578,R410
F16335,R15
F16782,R195
F16870,R424
F17085,R354
F17047,R150
F17785,R303
F17851,R517
F17756,R9
F16202,R468
F17454,R148
F17957,R289
F17154,R563
F17167,R379
F16724,R565
F16361,R74
F16894,R467
F17642,R274
F16236,R550
F16858,R321
F17926,R183
F16641,R484
F17387,R219
F17441,R374
F17793,R515
F16370,R517
F17803,R148
F17999,R160
F17077,R105
F17423,R494
F16824,R538
F16319,R188
F16538,R4
F16923,R237
F17611,R343
F17024,R233
F16359,R102
F16661,R441
F16267,R41
F16402,R256
F17401,R507
F16811,R144
F17381,R195
F17914,R125
F16230,R391
F16901,R596
F17521,R359
F16783,R32
F16742,R304
F17898,R247
