childFieldId,parentFieldId
F4647,F4638
F14523,F14214
F14492,F14258
F10020,F9670
F12690,F12319
F17993,F17742
F17804,F17603
F7575,F7311
F8683,F8500
F11371,F11027
F6657,F6383
F9888,F9780
F8869,F8703
F14784,F14695
F17099,F16922
F5179,F4821
F7054,F6878
F10103,F9847
F7976,F7712
F2816,F2807
F11439,F11347
F17196,F16806
F17213,F17029
F4392,F4055
F16259,F16092
F7369,F7032
F16807,F16696
F4421,F4150
F6198,F6149
F13288,F12990
F3233,F2929
F9857,F9631
F14788,F14609
F14391,F14192
F16505,F16496
F14563,F14455
F4616,F4442
F15235,F14886
F17978,F17629
F9334,F9315
F10579,F10488
F16958,F16710
F16437,F16422
F15620,F15444
F14512,F14440
F11352,F10992
F11713,F11456
F16158,F15770
F5073,F4934
F15788,F15754
F5944,F5607
F11674,F11312
F9920,F9590
F11997,F11806
F4099,F4051
F17463,F17385
F13280,F13267
F16011,F15864
F15724,F15414
F14689,F14540
F10207,F9888
F17407,F17344
F3130,F2836
F12147,F11950
F12579,F12519
F5804,F5541
F12474,F12390
F16322,F16236
F17913,F17650
F5199,F4856
F11824,F11726
F7243,F7116
F15310,F15243
F15195,F14915
F7382,F7351
F14327,F14058
F16607,F16514
F16718,F16466
F5217,F4970
F2877,F2718
F5765,F5410
F16047,F15905
F3276,F2993
F5282,F5003
F8812,F8487
F4442,F4315
F14042,F13766
F17599,F17293
F15387,F15352
F12779,F12618
F13878,F13739
F15022,F14627
F11355,F11328
F6713,F6676
F17547,F17295
F14987,F14897
F17940,F17578
F17122,F16746
F9972,F9753
F9039,F8926
F9061,F8752
F9469,F9426
F8478,F8100
F4271,F3933
F14287,F14117
F5306,F5267
F15665,F15458
F6745,F6711
F7793,F7738
F7833,F7619
F12087,F11880
F5715,F5615
F8343,F8329
F5363,F5343
F7434,F7421
F17423,F17166
F4715,F4488
F5161,F4978
F4259,F3933
F14879,F14799
F14578,F14352
F8212,F8095
F9064,F8868
F16430,F16181
F2983,F2637
F5987,F5717
F4077,F3977
F10783,F10583
F11326,F11293
F11771,F11541
F5824,F5773
F6108,F5997
F6562,F6222
F17440,F17242
F14764,F14734
F3325,F3283
F11865,F11632
F14974,F14589
F6931,F6813
F11823,F11749
F16057,F15979
F11106,F10817
F5335,F5127
F13299,F13274
F6601,F6503
F15234,F15140
F9009,F8674
F17601,F17494
F13705,F13535
F3469,F3162
F14113,F13763
F8879,F8709
F10761,F10526
F12946,F12733
F3395,F3041
F7846,F7589
F8605,F8367
F4898,F4785
F13261,F13116
F11499,F11382
F2948,F2584
F11302,F11299
F16158,F16056
F6534,F6233
F7907,F7898
F16980,F16969
F15011,F14971
F16456,F16093
F17031,F16828
F11979,F11647
F9272,F9087
F11342,F11223
F15749,F15677
F8669,F8410
F11907,F11898
F9305,F9101
F6201,F5819
F8644,F8643
F3090,F3079
F15612,F15543
F7431,F7368
F9630,F9423
F10194,F9955
F11097,F10827
F11455,F11152
F7238,F7074
F5223,F4827
F13058,F12831
F9932,F9805
F14425,F14053
F10804,F10718
F10581,F10367
F4411,F4206
F13494,F13103
F13914,F13523
F15609,F15288
F2865,F2846
F9087,F8700
F17691,F17294
F16871,F16842
F10100,F9967
F6425,F6242
F6593,F6412
F8854,F8787
F11407,F11359
F11248,F10849
F6520,F6383
F3228,F2954
F12974,F12893
F12310,F12283
F7205,F7121
F11367,F11039
F13333,F12967
F10599,F10320
F7421,F7339
F3567,F3473
F8528,F8292
F4110,F3892
F5456,F5361
F2978,F2871
F13693,F13295
F4847,F4684
F15132,F14827
F4908,F4775
F16828,F16689
F12989,F12846
F9355,F9084
F3009,F2907
F11189,F11021
F3736,F3558
F10923,F10709
F16439,F16189
F6372,F6175
F10092,F10038
F4349,F4173
F4002,F3705
F6257,F5934
F6211,F5881
F5863,F5834
F9566,F9231
F8033,F7633
F5597,F5472
F12641,F12255
F17161,F16836
F16884,F16773
F4949,F4737
F8045,F7784
F11333,F10964
F11371,F11171
F7072,F7033
F9502,F9350
F3972,F3869
F5562,F5217
F8937,F8752
F10296,F10167
F12868,F12716
F14928,F14789
F4333,F3936
F13628,F13412
F13502,F13208
F3125,F2861
F14183,F14004
F14910,F14570
F14788,F14652
F10487,F10240
F16813,F16562
F11115,F10990
F13723,F13404
F17521,F17140
F13210,F12975
F5218,F4853
F5902,F5531
F17735,F17710
F2821,F2791
F11567,F11362
F13684,F13462
F10433,F10312
F14478,F14206
F7730,F7663
F5657,F5604
F4021,F3725
F5934,F5817
F9738,F9382
F14477,F14143
F6583,F6540
F9902,F9833
F3551,F3314
F13400,F13145
F6978,F6855
F17845,F17496
F6533,F6422
F8115,F7906
F13915,F13879
F12922,F12707
F11135,F10923
F3094,F2915
F10329,F10297
F6946,F6664
F7927,F7869
F7251,F6926
F13217,F13009
F12922,F12677
F13908,F13593
F9938,F9795
F3999,F3716
F3082,F2779
F10880,F10517
F6487,F6402
F10404,F10186
F10438,F10306
F13700,F13454
F4185,F3795
F8014,F7896
F6361,F6227
F6374,F6085
F16899,F16729
F14990,F14867
F8681,F8388
F7171,F7056
F14169,F14130
F7093,F7001
F6993,F6818
F7224,F6966
F4868,F4680
F10880,F10715
F12532,F12485
F15898,F15639
F12022,F11688
F7252,F7154
F6745,F6486
F13108,F12933
F13815,F13641
F4907,F4678
F16236,F16117
F15678,F15476
F16962,F16717
F14462,F14338
F12450,F12356
F10575,F10207
F12538,F12396
F13544,F13518
F16491,F16224
F16956,F16764
F3828,F3599
F13584,F13412
F6947,F6713
F14666,F14655
F10403,F10202
F10358,F10194
F3011,F2976
F13607,F13277
F15383,F15373
F10908,F10651
F15202,F15117
F3197,F2871
F11843,F11754
F7259,F7244
F17745,F17525
F2739,F2623
F6350,F6048
F15462,F15300
F8953,F8811
F9162,F8800
F5767,F5694
F3366,F3254
F6478,F6216
F8113,F7867
F11512,F11375
F14034,F13653
F5897,F5549
F12999,F12967
F17087,F16796
F17662,F17538
F12084,F11712
F5690,F5444
F11187,F10826
F13914,F13717
F14954,F14736
F17998,F17920
F12451,F12270
F7422,F7137
F15629,F15444
F12961,F12778
F14180,F13904
F4188,F4119
F9209,F8888
F11629,F11395
F8887,F8843
F5830,F5785
F16525,F16371
F5489,F5122
F3002,F2923
F4137,F3889
F3386,F3341
F3286,F3181
F14574,F14425
F17080,F16824
F12218,F11824
F15020,F14969
F3537,F3147
F8148,F8076
F13495,F13321
F16953,F16695
F6101,F5701
F8723,F8602
F2846,F2670
F5486,F5188
F15723,F15687
F4928,F4806
F6752,F6532
F8647,F8406
F10688,F10586
F11207,F11162
F11036,F10865
F3171,F2889
F5532,F5267
F15926,F15855
F5212,F5105
F14789,F14717
F14911,F14746
F17572,F17540
F9060,F8900
F11763,F11366
F13517,F13156
F6734,F6723
F15459,F15274
F17993,F17960
F10161,F9870
F16717,F16659
F5704,F5463
F11278,F11133
F6306,F6203
F9366,F9034
F16653,F16373
F13867,F13564
F17023,F16829
F8732,F8433
F6011,F5663
F12066,F11711
F3540,F3230
F6594,F6204
F7608,F7232
F8564,F8476
F14843,F14805
F4040,F3751
F8759,F8607
F11280,F10960
F15655,F15290
F14587,F14577
F7488,F7285
F11417,F11326
F8319,F7962
F7200,F7194
F13187,F12861
F12198,F12122
F12660,F12503
F9860,F9679
F13658,F13380
F4834,F4809
F3541,F3362
F4751,F4589
F7800,F7687
F5193,F4835
F8668,F8580
F6958,F6596
F13418,F13277
F16485,F16212
F10600,F10397
F13126,F12992
F13434,F13192
F17384,F17169
F3794,F3572
F6264,F6058
F17590,F17314
F4022,F3964
F15821,F15672
F5074,F4827
F5087,F4822
F3139,F2986
F13978,F13779
F13424,F13066
F7608,F7491
F10364,F10129
F8500,F8438
F14973,F14688
F11112,F11055
F12182,F12069
F8425,F8410
F16482,F16148
F2795,F2750
F12705,F12317
F6722,F6407
F7704,F7539
F11894,F11663
F9153,F9096
F7821,F7668
F12849,F12560
F10337,F9985
F16088,F16087
F7593,F7208
F9841,F9480
F10058,F10042
F11665,F11633
F9923,F9903
F9883,F9601
F13200,F13153
F17988,F17797
F8072,F8067
F4288,F4179
F14716,F14596
F16892,F16693
F12928,F12865
F16068,F15910
F13793,F13480
F6234,F6159
F15020,F14887
F4130,F4001
F6623,F6250
F2968,F2611
F3956,F3882
F11200,F10831
F3866,F3579
F8708,F8480
F11856,F11457
F16371,F16244
F7068,F6850
F5307,F5135
F4416,F4205
F12627,F12509
F13815,F13607
F3659,F3492
F17935,F17712
F7101,F6744
F11610,F11483
F6025,F5921
F12690,F12494
F15111,F14995
F17349,F17184
F7069,F6865
F10879,F10613
F5301,F5281
F4159,F4072
F6888,F6836
F9475,F9371
F5572,F5375
F7699,F7479
F8599,F8249
F9935,F9643
F2763,F2372
F5732,F5544
F10904,F10557
F4898,F4655
F7954,F7863
F8740,F8376
F11531,F11290
F10196,F10133
F15484,F15261
F4618,F4378
F9218,F9207
F16650,F16641
F6571,F6542
F11101,F11071
F14446,F14114
F5353,F5173
F8575,F8386
F9356,F9125
F8264,F8216
F14424,F14124
F12402,F12172
F16025,F15867
F5689,F5608
F17102,F16835
F3941,F3783
F14669,F14296
F10627,F10332
F13135,F12939
F7635,F7584
F12898,F12755
F4471,F4337
F3736,F3726
F7516,F7307
F12140,F11850
F9863,F9826
F10685,F10333
F13900,F13805
F15117,F14964
F14837,F14546
F13987,F13863
F11974,F11604
F12805,F12692
F9765,F9372
F6065,F5943
F5983,F5614
F4907,F4763
F6760,F6574
F10340,F9992
F11405,F11186
F3537,F3391
F13460,F13134
F4371,F4042
F4305,F4012
F17410,F17403
F12998,F12779
F6663,F6641
F4716,F4424
F6318,F6174
